,LAKE_NAME,EcoRegion,ultraBlue,Blue,Green,Red,Date Aquired,dwPost,dwChroma,dwLehmann,s,sp,brightness,TriX,TriY,TriZ,x,y,z
89,Hill,Northern_Lakes_and_Forests,0.00378875,0.002125,0.01088375,0.00263375,9/1/2022,549,548.5652029,568.4614033,0.122583257,-0.000795898,0.006580483,0.704,0.816,0.323,0.38,0.44,0.18
90,Hill,Northern_Lakes_and_Forests,0.0039675,0.00614,0.01318,0.005205,9/1/2022,543,542.5219921,566.2392665,0.11361789,-0.000737565,0.008916352,0.940,1.099,0.479,0.37,0.44,0.19
91,Hill,Northern_Lakes_and_Forests,0.00403625,0.006415,0.01351,0.00557625,9/1/2022,543,543.1489099,566.6105989,0.113451091,-0.000736498,0.009215329,0.972,1.133,0.494,0.37,0.44,0.19
92,Hill,Northern_Lakes_and_Forests,0.00444875,0.00609875,0.01335875,0.00483375,9/1/2022,541,540.8155736,565.0303565,0.108847731,-0.000706552,0.008925919,0.941,1.103,0.506,0.37,0.43,0.20
93,Hill,Northern_Lakes_and_Forests,0.00455875,0.006195,0.013345,0.00538375,9/1/2022,543,543.2653658,566.261923,0.106870627,-0.000693765,0.00904529,0.961,1.115,0.516,0.37,0.43,0.20
94,Hill,Northern_Lakes_and_Forests,0.0051225,0.0059475,0.01278125,0.00486125,9/1/2022,541,541.4849124,564.7385514,0.097325126,-0.000631746,0.008609391,0.919,1.063,0.538,0.36,0.42,0.21
95,Hill,Northern_Lakes_and_Forests,0.0053975,0.00477875,0.01274,0.00455875,9/1/2022,546,546.0536433,566.683248,0.097994307,-0.000636159,0.008285052,0.901,1.031,0.513,0.37,0.42,0.21
96,Elk,Northern_Lakes_and_Forests,0.000365,0.0050675,0.017745,0.0050125,8/30/2022,547,546.5839856,568.8047856,0.186823281,-0.00121304,0.011040678,1.119,1.369,0.245,0.41,0.50,0.09
97,Elk,Northern_Lakes_and_Forests,0.00042,0.00592,0.0188175,0.00614,8/30/2022,547,547.4441503,569.2477124,0.182580546,-0.001185566,0.011928178,1.220,1.478,0.280,0.41,0.50,0.09
98,Elk,Northern_Lakes_and_Forests,0.00141,0.0057275,0.0183225,0.0057825,8/30/2022,547,546.9882107,568.8661163,0.170103475,-0.001104488,0.011575197,1.192,1.436,0.330,0.40,0.49,0.11
99,Elk,Northern_Lakes_and_Forests,0.0026475,0.0049575,0.01769,0.0050125,8/30/2022,547,546.8840406,568.4657215,0.157084919,-0.001019908,0.010994515,1.141,1.366,0.373,0.40,0.47,0.13
100,Portage,Northern_Lakes_and_Forests,0.00108,0.0082025,0.0184325,0.00983875,8/31/2022,553,552.5925628,571.3257463,0.160474004,-0.001042411,0.012959412,1.351,1.569,0.397,0.41,0.47,0.12
101,Portage,Northern_Lakes_and_Forests,0.00218,0.00766625,0.01869375,0.0100175,8/31/2022,554,554.0550165,571.9647301,0.152016196,-0.000987582,0.013020215,1.378,1.579,0.443,0.41,0.46,0.13
102,Portage,Northern_Lakes_and_Forests,0.00312875,0.00585125,0.01736,0.0092475,8/31/2022,556,556.1578683,573.2362293,0.146078747,-0.000949243,0.011847967,1.282,1.440,0.431,0.41,0.46,0.14
103,Portage,Northern_Lakes_and_Forests,0.003555,0.0095775,0.01967,0.01091125,8/31/2022,552,551.9202966,570.8596726,0.13372365,-0.000868569,0.014114919,1.488,1.702,0.592,0.39,0.45,0.16
104,Portage,Northern_Lakes_and_Forests,0.0037475,0.00950875,0.01965625,0.010705,8/31/2022,551,551.4596207,570.6607024,0.132114331,-0.000858083,0.014040198,1.481,1.696,0.601,0.39,0.45,0.16
105,Portage,Northern_Lakes_and_Forests,0.00381625,0.00741875,0.018185,0.00964625,8/31/2022,554,553.8635333,571.8461368,0.134364958,-0.000872892,0.012633055,1.356,1.536,0.528,0.40,0.45,0.15
106,Portage,Northern_Lakes_and_Forests,0.0042425,0.007075,0.01817125,0.00972875,8/31/2022,555,554.7349888,572.3295936,0.131578237,-0.000854861,0.012581713,1.360,1.530,0.541,0.40,0.45,0.16
107,Portage,Northern_Lakes_and_Forests,0.00482,0.00746,0.01830875,0.00994875,8/31/2022,555,554.5083596,572.1521874,0.124911633,-0.000811522,0.0127781,1.384,1.552,0.588,0.39,0.44,0.17
108,Portage,Northern_Lakes_and_Forests,0.00620875,0.00739125,0.01835,0.00983875,8/31/2022,554,554.3215149,572.0514774,0.11220794,-0.000728976,0.012756098,1.397,1.553,0.667,0.39,0.43,0.18
109,Portage,Northern_Lakes_and_Forests,0.0062225,0.00618125,0.01764875,0.0094125,8/31/2022,556,555.8243615,573.153186,0.113558954,-0.000737911,0.012086927,1.339,1.473,0.623,0.39,0.43,0.18
110,Cedar,North_Central_Hardwood_Forests,0.0022075,0.0062775,0.0100725,0.003665,8/31/2022,522,521.7706134,561.0487255,0.119624463,-0.000776275,0.007171576,0.709,0.866,0.374,0.36,0.44,0.19
